"company_name","salary_hour_avg"
"Fractal","67.5"
"Ionidea","90.0"
"Planet Technology","53.5"
"Advantis Global","65.0"
"Flexton Inc.","71.5"
"LeadStack Inc.","77.5"
"Braintrust","45.0"
"CA-One Tech Cloud Inc.","56.0"
"STAND 8 Technology Services","71.5"
"Akkodis","65.0"
"Stockell Consulting","66.5"
"Leadstack Inc","65.0"
"Apex Systems","76.5"
"CTI Consulting","45.0"
"Insight Global","71.80000305175781"
"Brooksource","57.5"
"eTeam","82.5"
"London Approach","42.5"
"Seneca Resources","77.5"
"Highbrow","40.0"
"HCL America Inc.","67.5"
"TekJobs","62.5"
"Mitchell Martin Inc.","63.5"
"Apolis","80.0"
"Nextogen Inc.","67.5"
"EPITEC","51.0"
"Infinite Computer Solutions (ICS)","55.0"
"Akkodis","65.9800033569336"
"Collabera LLC","55.0"
"EdgeLink","67.5"
"Intermountain Healthcare","60.90999984741211"
"Akkodis","65.9800033569336"
"Kforce Technology Staffing","63.5"
"Infinite Computer Solutions (ICS)","65.0"
"Centillion Infotech","60.0"
"Edge Services","65.0"
"Mindsource Inc","90.0"
"Kforce Technology Staffing","59.0"
"BeaconGov","45.29499816894531"
"Kforce Technology Staffing","50.0"
"Appsintegration INC","60.0"
"Pyramid Consulting, Inc.","47.5"
"Smartiplace","47.5"
"Naval Nuclear Laboratory","40.65999984741211"
"Braintrust","80.0"
"Volt","55.0"
"Get It Recruit - Information Technology","60.5"
"Alium","95.0"
"Motion Recruitment","57.0"
"Upwork","12.5"
"Robert Half","52.5"
"Insight Global","62.5"
"Insight Global","87.5"
"Insight Global","60.0"
"TEKsystems","60.0"
"NTT DATA Services","55.0"
"iSpace Inc.","72.0"
"EOG","60.0"
"Insight Global","57.0"
"Swoon","70.0"
"TEKsystems","52.5"
"Pyramid Consulting, Inc","72.5"
"Insight Global","77.5"
"Aditi Consulting","48.0"
"SSI People","105.0"
"DiamondPick","62.5"
"Addison Group","52.0"
"ElevaIT Solutions","82.5"
"West Coast Consulting","72.5"
"New Millenium Consulting","57.5"
"OSO Ventures Inc.","70.0"
"Medline","81.76499938964844"
"Insight Global","82.5"
"Quadrant Resource","60.0"
"Pinnacle Group, Inc.","70.0"
"Motion Recruitment","62.5"
"Robert Half","55.0"
"TekWissen ®","49.5"
"Aditi Consulting","75.0"
"Insight Global","67.5"
"Sinclair Broadcast Group","56.7400016784668"
"VentureWell","48.13999938964844"
"LMI Consulting, LLC","61.159996032714844"
"Apple","67.37999725341797"
"Naval Nuclear Laboratory","40.65999984741211"
"Brivo Systems, LLC","61.159996032714844"
"Allspring Global Investments","50.96500015258789"
"Upwork","21.5"
"Upwork","11.0"
"Octo Consulting Group","61.159996032714844"
"1904labs","39.68000030517578"
"Upwork","19.0"
"STAND 8","67.5"
"GSN","24.0"
"Computer Staff","87.5"
"SSI People","65.0"
"Akkodis","61.0"
"Insight Global","58.5"
"1 Point system","58.39500045776367"
"Kforce Technology Staffing","77.5"
"Yorkshire Global Solutions Inc.","55.0"
"Chipton-Ross Inc.","17.0"
"Epitec","71.5"
"Hunter International Recruiting","79.0"
"CEI","77.5"
"Evolution Recruitment Solutions, USA","70.0"
"Yorkshire Global Solutions Inc.","55.0"
"Insight Global","65.0"
"Insight Global","62.5"
"LeadStack Inc.","65.0"
"Ascendion","58.5"
"Akkodis","70.0"
"Archon Resources","45.0"
"Robert Half","52.5"
"QED National","40.0"
"Insight Global","50.0"
"zettalogix.Inc","65.0"
"Zyreoneconsulting LLC","55.0"
"New Resources Consulting, LLC","65.0"
"Access Data Consulting Corp","65.0"
"Canopus IT Solutions LLC","59.0"
"Verticalmove, Inc.","65.0"
"Braintrust","80.0"
"Braintrust","80.0"
